"","klasifikasi","score","text"
"246","Netral",0,"sri asih bagus ges  gitu  tjgn dicomrenya  marvel ya mon ma"
"247","Netral",0,"weh    sri asih  ngga sihhhmasi  bioskop  turun layar buru  "
"248","Netral",0,"   calon sri asih  msh struggle ngelawan amarahnyakeren km ris semangat trs sam jd sri asih ya "
"249","Netral",0,"sri asih rate  jumcarednya tet sasaran am   lumayan intriguing  orang   terla "
"250","Negatif",-1,"sri asih  film  bumilangit cinematic universe bcu  tayang  biosko kehadirannya membuka semest "
"251","Netral",0,"terharubgt  sriasih  rfilman indonesia  bikin film   cgieffect sekeren "
"252","Positif",1,"kasian  ibumu  mengajarkan mu  menghargai remansri asih"
"253","Netral",0," ngikutin bcu ah mari     gundala  sri asih  "
"254","Netral",0," sri asih karna nasaran mbak v  mbak dian habis   tetetersena   reza rahadian "
"255","Negatif",-3," sri asihmencuri raden salehpengabdi setan ngeri ngeri sedaerfect strangers"
"256","Netral",0," bang tolong  bang emang  anak  diasuh  panti asuhan katholik belajar agama isl "
"257","Netral",0,"   d snsori  terima kasih traktiran na  ntn td utk sri asih ku kasih r "
"258","Netral",0," the menu  sri asih ya "
"259","Netral",0,"sri asih bagus "
"260","Negatif",-1," mencuri raden salehsri asih"
"261","Netral",0,"keliatan dgn sri asih emang berhasil  nyambungin universenya dgn gundala ta  liat filmnya doang  ba "
"262","Negatif",-1,"adegan gelut sri asih edun sih cuy"
"263","Negatif",-1,"sri asih okelah sih  film indo yahnya cginya   smooth ceritanya  arahnya  dibawa kemana akting mainnya okkk"
"264","Netral",0,"sri asih  si jimin "
"265","Netral",0,"ingetin   review sri asih lu mulu  jumat kmrn"
"266","Negatif",-1," bang sri asih bagusssh remake panji manusia milenium vs muka rusak bang "
"267","Positif",1,"   ndat lu klo  bilang   kualitas gatotkaca salahnya "
"268","Positif",1,"tokoh     tease  komik webtoon sri asih celesial goddess "
"269","Negatif",-1,"sri asih keren sih karakter utamanya alagi they did very well  sayangnya  bebera rt  menurutku "
"270","Positif",1,"   lu  ratakan  kualitas cgi sri asih  adegan fightnya  te "
"271","Netral",0,"cari temen  wakanda  sri asih gaysemarang"
"272","Netral",0," hahahaa sri asih "
"273","Positif",2,"ta sri asih cantik banget argh"
"274","Netral",0,"yuk f  sri asih besok sender mbills on meoyi"
"275","Netral",0,"  asik banget baca njelasan   dikirkir emang  kaitannya kuat   ya  tim "
"276","Netral",0,"timbang  ala dunia   sri asih wae nyawang vita  adem "
"277","Netral",0," rangka mendukung industri rfilman indonesia  menonton film sri asih surhero asli indones "
"278","Negatif",-1,"pusing  sri asih scrinya sungguhlah "
"279","Netral",0,"sri asih  bagus yh"
"280","Netral",0," bro sri asih tayang bro"
"281","Netral",0," sri asih rgi  sar "
"282","Positif",2,"  gaya fightnya sri asih  anggun kayanya keren sesuai namanya bertarung  nuh welas asih "
"283","Netral",0," rame malam ffi muja sri asih  ae belain filmnyahalah kntl"
"284","Positif",2,"sri asih keren mba  takjub ama adega reza dikerubunin vitasemoga   bcu  tira "
"285","Positif",2,"ngga bereksktasi   sri asih ta wow ngga mengecewakan keren banget"
"286","Negatif",-1,"sri asih kek tai jam  bikin bosen  mending gundala  bilang sri asih bagus selera filmnya jelek "
"287","Netral",0,"sri asih kereeenkawal bumilangit cinematic universe sam lengkasemua "
"288","Netral",0,"sri asih sriasih "
"289","Netral",0,"sri asih was a  cukuoke"
"290","Netral",0,"sri asih bagus deh sukaa  abis    virgo  "
"291","Negatif",-2,"marah  sifat  sri asihjelas  "
"292","Netral",0,"   misha nyengir lebar sri asih tunjukkanta   dengardengar  "
"293","Netral",0," ayuk ajak temanteman    sri asih biar      kelanjut "
"294","Netral",0," sekedar saran  bang gimana  ngadain omo   "
"295","Netral",0," emg krn s scene   cristin hakim bilang     kekuatan serti sri a "
"296","Negatif",-1," emti darida vyela  tersamikan   merta  sontak  suasana hati "
"297","Negatif",-2,"sri asih lemnya bagus ta kelamaannnn   gelisah wwkwkk  gelisah     kebel "
"298","Netral",0," sri asih yuk"
"299","Negatif",-1," sri asih sih n  nnton "
"300","Positif",1," sri asih  nggak nih alasannya  nambahin rsonil wanita tangguh  mcu"
"301","Netral",0,"sri asih vs moon knight x dementor sriasih"
"302","Netral",0," sri asih sti wkwk"
"303","Negatif",-2,"       menilai buruk film sriasih    klo bilang bagus ya bagus "
"304","Negatif",-1,"sri asih bagus banget  sia ngebut deadline ngejar film jam  biar tanggal tua   ribu worth it sekaleee "
"305","Positif",2,"   sri asih  keren banget cuy film "
"306","Negatif",-2,"black dat memanggil arwah ra leluhurnya  mengendalikan ruang  melitgandakan  ukuran da "
"307","Netral",0,"   sri asih"
"308","Netral",0,"  sri asihsriasih nontonsriasih"
"309","Netral",0,"abis  sri asih mudah  "
"310","Negatif",-1,"   adegan kabur     setuju ta   cgi  sri asih     bagus"
"311","Netral",0,"sri asih  siler with no context "
"312","Negatif",-2,"  mencuri raden saleh qodrat sri asih ngeringeri seda pengabdi setan "
"313","Negatif",-1," ams    filmitu oni selera ibadi lu tolol   bero "
"314","Netral",0,"yuk  sri asih  sriasih "
"315","Netral",0," logika  deh hollywood filmnya dunia budget ratusan juta dollar sri asih film lokal ling ma "
"316","Negatif",-1,"okay biar fair   jelasin kena   cgi sriasih     ling ga suka efek letusan gunun "
"317","Positif",1,"joko anwar  oduser inovatif jagat sinema bumilangit angkat suara  rtanyaan   den karakter d "
"318","Netral",0," kostum  bagusan sri asih  gundala ah wkwkw"
"319","Negatif",-1,"  nggak  ek   komikroh setan  komik  musuhnya godam  sri asih"
"320","Netral",0,"revaldo  sri asih jga"
"321","Negatif",-2,"  pengabdi setan  mencuri raden saleh  srimulat hil  mustahal  sri asih perfect stranger"
"322","Negatif",-1," sri asih salah  member agnation  sih hahaha ytta"
"323","Negatif",-1," situasi    terkendali    turun tangan ah shiaman musnahkan ra koru "
"324","Netral",0," karakter   film surhero sri asih "
"325","Netral",0," jarang film indonesia cgi   sri asih "
"326","Positif",1,"teruntuk  hak  terlibatfilm   film adisatria terbaik  adimin tonton an kemungkinnya "
"327","Negatif",-1," gatot kaca no gundala sri asih yes"
"328","Negatif",-1,"ah na kentang  scane ending berantem sri asih"
"329","Netral",0," sri asih"
"330","Positif",1," ta emang  mas film  sri asih  cgi   keren"
"331","Netral",0,"  abang bayarin  sri asih"
"332","Negatif",-1," hahaa  bang   sri asih versi ngondek    melayang kmna mna"
"333","Netral",0,"  berani keluarin duit segitu gedenya  cgi  sejelek an filmnya ndatan  "
"334","Netral",0," yukkkk   sri asih  tai"
"335","Negatif",-2," ribu orang  lihat jakarta night aerial footage drone view stock video hd  k  sri asih "
"336","Netral",0,"  abang bayarin  sri asih"
"337","Netral",0,"woii sri asih seruuu"
"338","Netral",0," gatau  liat  artikel daftar cast film sri asih wkwkwk"
"339","Netral",0," sambutan   ketua komite ffi rezarahadian tugas thn  ye k  oud of u "
"340","Netral",0," kebalikan sri asih"
"341","Netral",0,"diajak  us onenya   hadir  undangan nobar sri asih besok   jam  siang ngomongin  dres "
"342","Netral",0," film  wakanda  sri asih"
"343","Positif",1,"okey ditunggu ceritanya oh ya  uda    lu  sri asih kak gits seru lohgitalk"
"344","Netral",0,"sri asih gt gt gt black widow "
"345","Netral",0,"movies ive watched sri asih setiasri asih landing    menatamusuhnya   "
"346","Positif",1,"guys    sri asih issss kudu  ya  bagus banget gilaaaaaak   sabar  next oject godam "
"347","Netral",0," bener habis monton sri asih    hlawan"
"348","Netral",0,"cant stothinking how surya satra resembles surya loh and reza rahadian looks like jesus christ in sri asih"
"349","Netral",0,"bright ngelawan sri asih g"
"350","Negatif",-1," ayoo  sri asih gua  bayar"
"351","Netral",0," tambahan   ditease  webtoon sri asih terkait nguasa lautan   "
"352","Netral",0,"     sri asih"
"353","Netral",0,"    berbekal  sri asih  x"
"354","Netral",0,"abis nnton sri asih   naksir vita"
"355","Netral",0,"sri asih siler no context "
"356","Netral",0,"kebioskob  sri asih kean rakebioskob  sri asih  kolor "
"357","Negatif",-1,"btw  nggak  maksud nyerang mas ya maaf    trigger  dibilang marketing  dibayar "
"358","Netral",0,"ta  sri asih   ghazul  gundala"
"359","Negatif",-1," nyambung   ghazul nyebut nama sri asih instead of gundala  sosok asih    ngalahin "
"360","Negatif",-2,"semt  teori  kalimat  ta kondisi  berubah drastis  a   ketahui  film sri a "
"361","Negatif",-1,"film sri asih ngenalin antagonis  jsb dewi adiceritakan   dewi a  ribuan a jutaan "
"362","Positif",1,"sekedar warning thread  slightly mengandung siler sri asih   tetebaca ya monggo syukur s "
"363","Positif",1,"aming bilang   banget  sri asih "
"364","Netral",0," red cart  kesiler sri asih "
"365","Negatif",-1,"duh gua belom  sri asih nih"
"366","Netral",0," sri asih  nyam  juta i will go riot hahahha canda sumh guys buruan  bioskojangan ditundatunda "
"367","Positif",1,"faktafakta  membuktikan  indonesia  mam   mengembangkan genre surhero  kualitas  "
"368","Negatif",-1,"cgi   orang indonesiasangat membanggakan film sri asih  kualitas cgi   meningkat ternyat "
"369","Netral",0,"kostum sri asih   amerikasebelumnya kostum gundala diakhir     negeri kali  sri asih "
"370","Netral",0,"sri asih surhero indonesia     dilewatinadegan berantemnya intens banget gan berasa  "
"371","Netral",0,"pembukanya gundala   sri asih  direct  ak  kelas surhero indonesia    da "
"372","Netral",0," ayo  sri asih ngab"
"373","Netral",0,"   bahas sri asih   getol  ngomongin bumi langit ga  gundala tiahari  "
"374","Netral",0,"nani wijaya  hadirr ta mbak  blom  sri asih ffi "
"375","Positif",1,"bebera kesalahan dirbaiki  gundala  sri asih patut disejajarkan  melebihi  bebera sisi  "
"376","Negatif",-1,"temanteman yuk ngobrol  sri asih  bumilangit cinematic universe bareng  besok ja "
"377","Negatif",-1," bedasri asih  universe  gundala  bumi langitkalo gatot kaca  satria dewan "
"378","Netral",0," ohh    muncul  sri asih ya si virgo"
"379","Positif",1,"ih lucu banget nani wijaya  belom  sri asih shshsvsh"
"380","Negatif",-1," mendukung perfilman indonesia erick thohir menonton film sri asih thohir  serbu masyarakat  "
"381","Positif",1,"  nggak setuju  cgi sri asih keren coba     film indonesia  cgi segila inicg "
"382","Netral",0,"nganten blm semt  sri asih "
"383","Netral",0,"jujur kekiran gini   gundala kesannya   siamasuk  bigger things s   hero "
"384","Netral",0," sri asihmencuri raden salehperfect strangersqodratnoktah merah perkawinan"
"385","Netral",0," fakta dewi a villain powerful  film sri asih "
"386","Netral",0,"  lo da   film   am lu nyesel ga ngerasain hynya andaikata  masuk  pla "
"387","Positif",1," rcaya film indonesia kedennya arahnya     nemuin titik terang   den rfilm "
"388","Netral",0," oning rkenalan sri asih am  dat kekuatan sri asih  udh gila banget   ceritanya bener "
"389","Netral",0,"   bilang  ka  lo berdua gila lo berdua keren abisini film   "
"390","Negatif",-1," sebenernya  takut malu  ragu  review film sri asih but  film one of best  film indonesia "
"391","Negatif",-1,"  ngeringeri seda noktah merah perkawinan before now am then sri asih mencuri raden saleh"
"392","Netral",0,"sri asih    film indonésia  cgi terbaik  saät  kerén sih"
"393","Netral",0,"asalusul dewi a  muncul  film sri asih via "
"394","Netral",0,"tonton en  wes dadi sri asih  "
"395","Netral",0," cake tsayang   film indo  diginiin hl  sri asih"
"396","Netral",0,"sri asih tungguin  weekend "
"397","Netral",0," seruseruan  gibahin filmnya no rules tumhkan  kesenangan  terhadafilmnya  baiknya no "
"398","Negatif",-1,"eh anjir   gini    bs  sri asih woiiiiii adoeh"
"399","Positif",1,"mim   nyata najwa shihab  berkesemtan  berakting  film sri asih  nani wijaya "
"400","Netral",0,"seriously    sri asih "
"401","Netral",0," bang  foto sri asih pev  full kostum donk thx"
"402","Netral",0,"jujur  terbantu  bahasa baku   ucan  sri asih krn   ga  subtitle kadang suka beli "
"403","Negatif",-1,"  sri asih  mengosongkan kela merendahkan eksktasi     film surhero action  gelutan"
"404","Positif",2,"pevita pearce cantik banget  film sri asih"
"405","Netral",0,"jmb   mw nemenin  rewatch sri asih  sit bills  ga f here  ga   like   dm"
"406","Positif",1," dikirin film sri asih seru  ya  ngebangun universe  blcuselain ngebangun universe   bik "
"407","Positif",1,"gilaaa sri asih bagus banget yak"
"408","Netral",0,"cabut ah mending  sri asih"
"409","Negatif",-1,"gimana rekanrekan  akah berkenan   sidang rang teori film sri asih "
"410","Netral",0,"sri asih  menyenangkan  ditonton latar cerita  indonesia banget  berusaha dibaratbaratin mak "
"411","Positif",1,"gabut gini  sri asih kayaknya seru nih"
"412","Netral",0," kanigara  maza sancaka  gundala alana  sri asih awang  godam"
"413","Netral",0," sesok sakwise awakmu odon sis gas sri asih"
"414","Netral",0,"   uoad video review  film sri asih"
"415","Netral",0,"mbak jog gimana  besok   film sri asih yn   ketuk dm "
"416","Netral",0,"  sriasih  saranin  baiknya  ulang film gundala  gundala  ngenalan karakter s "
"417","Negatif",-1,"  me time dadakan abis  jnt  makan hokben ana  sri asih eh  telfon temen  instal ms off "
"418","Netral",0,"    sri asihnobarkomik sriasih"
"419","Positif",2," abis  sri asih gilaaaaa keren banget bias women surhero  nambah  mbak alana i stan you mbak  "
"420","Negatif",-1,"    sri asih bingung "
"421","Negatif",-1,"bingung   black nther  sri asih"
"422","Netral",0,"sri asih from zero to sur hero pereman indonesia "
"423","Positif",2,"sri asihthis movie deserve an aausepevita sungguh cantik rirnacredit after scenenya huhuuy skali"
"424","Netral",0,"serrrruuuuu  sri asih "
"425","Positif",1,"gokil sri asih seru bangett"
"426","Netral",0,"bebera dialog  sri asih  bikin cringe jujur ta   liatliat cocok  latar  sih ove "
"427","Positif",1,"jefri  sri asih kumel  lemes banget  suka"
"428","Negatif",-1,"  mba alagi   film gundala x sri asih     ditease  sia si "
"429","Positif",1,"keren   sri asih"
"430","Netral",0,"is sri asih better than gundala"
"431","Netral",0,"my rating for sri asih  pevita is so fucking etty"
"432","Netral",0,"sri asih "
"433","Netral",0," yu sri asih"
"434","Negatif",-1," mencuri radenngerinanapssri asih"
"435","Positif",1," film sri asih  oneer  stardar film indonesia  genre surhero  kualitas cgivfx sec "
"436","Negatif",-1,"fadly faisal kenang reaksi bibi ardiansyah  vanessa angel   terlibat  film sri asihkumranhits "
"437","Netral",0,"sri asih bagus  anjirrrr asdafavavababsjkskskss"
"438","Netral",0,"sri asihfreaking chefs kiss"
"439","Netral",0," sri asih gas nder"
"440","Positif",1,"skor memuaskan  temanteman reviewer  film sri asih terima kasih aesiasinya    yuk k "
"441","Netral",0,"bebera adegan  sri asih kaya ketebak  kemana mananya  ran reza rahadian n sam ga bikin suris "
"442","Negatif",-1,"halo jog     qodrat  sri asih kahh sedih   temen "
"443","Negatif",-1,"  sri asih teh sianya gatot kaca"
"444","Netral",0,"   sri asih  dehwalaun  "
"445","Netral",0,"fallin in love  alana alias sri asih"
"446","Positif",1," gasie ak rate film sri asih keren  sumpah   film fokus  nikmatin cerita  "
"447","Netral",0," senjang filmnya fokus  sri asih    adegan  nyambung  gundala  adegan "
"448","Negatif",-1," teta    kirim screen ct sri asih     gundala   kebingungan"
"449","Netral",0,"iya sesuka    sri asihnonton yukaku tunggu   bioskoyaaa"
"450","Netral",0,"sri asih  "
"451","Netral",0,"  sri asih  webtoonnya"
"452","Netral",0," wkwkwkw lesgo goals    minimal   sri asih "
"453","Netral",0,"n  sri asih"
"454","Netral",0," sriasih u  menyaksikan sri asih serti   transformasi pevita  bertumbuh  film "
"455","Netral",0,"sri asihthe menuthe fabelsmanshe saidanjir giliran kaga  duit film bagus byk  "
"456","Netral",0," rencana   cp  sri asih"
"457","Negatif",-1," takut  siler  sri asih woy  karna  menaikkan hy   orang     sri as "
"458","Netral",0,"a ya   disekati   aksi sri asihjangan sami ketinggalan ayo saksikan sriasih  "
"459","Negatif",-1," mencuri raden shalehps  si  bagussri asih  "
"460","Negatif",-1," ng mn sri asih"
"461","Positif",1,"krikriu esode   sri asih film adiwira ak  jagoannya cantik "
"462","Negatif",-1,"sri asih worth to watch  jadwal rilis mundur  okt   nov filmnya   film lokal  har "
"463","Negatif",-1,"jog mbak mbak sek tersakiti ayo  sri asih"
"464","Negatif",-1," iya   sri asih msh mikir nih om krn emang   tertarikklo dr rating sih  bagus "
"465","Negatif",-1," mencuri raden salehnoktah merah perkawinanqodrat sri asihgaragara warisan"
"466","Netral",0," sri asih "
"467","Netral",0,"as a fans  migo sri asih udh kebanyakan jian  s ayo saatny rang teori momentum kek momentum kn "
"468","Netral",0,"gundala sri asih godam "
"469","Netral",0,"gundala buruh brik sri asih fight   brik hmmm "
"470","Netral",0,"sri asih not bad "
"471","Netral",0,"  sri asih  ga  timeline ceritanya   gundala"
"472","Positif",1,"is there a way to stream sri asih legally penasaran"
"473","Netral",0," beda gatotkaca satria dewa sri asih bumi langit"
"474","Netral",0," pen  sri asih"
"475","Netral",0,"pevita pearce  sri asih   obaaaaaat wey"
"476","Netral",0,"sri asih the menu"
"477","Negatif",-1,"  noktah merah perkawinan ngeringeri seda mencuri raden saleh sri asih nana"
"478","Netral",0,"  sri asih gimana caranyaaaaa "
"479","Negatif",-1,"  sri asih  gatot kaca ga     universe   nyatu  ya"
"480","Netral",0,"okelah  filmnya mba sri asih "
"481","Netral",0,"still long way to go but worth to wait i think ta  kali ya sri asih mata nani wijaya  very excited to  "
"482","Positif",1,"sri asih mantul wohoo  ga sabar nih   avengersnya bumi langit aka patriot   ya temanteman sri asih "
"483","Netral",0,"mending   a sri asih si "
"484","Netral",0,"mat f    sri asih bills on me m"
"485","Netral",0,"sri asih is a "
"486","Negatif",-1,"  emre sih gas ta filmnya black nther   sri asih    gundala"
"487","Positif",1,"     lumayan rame   sting konten sri asih   s "
"488","Netral",0," sri asih"
"489","Netral",0," sri asih seruuuu wkwkwk"
"490","Negatif",-1," sri asih keren banget sih gila  teknis berani bersaing  holywood   menga "
"491","Netral",0,"citacita   sri asih   suka bertarung"
"492","Netral",0,"hiyak  senas  skrg ujan    sri asih nyaaa ujan mulu tiasore "
"493","Negatif",-1," pdhl kn sblm na bkln virgo dl  film  mbuka triot taruna  sri asih krn "
"494","Netral",0,"sri asih jelek ges salah banget rcaya rating netizen wkwkwk eksktasi    hdh"
"495","Netral",0," acara lu    nntn sri asih ga  "
"496","Positif",1," adisatria  anggota patriot    trinity semesta bumilangit sisa godam sancaka aka gundal "
"497","Netral",0,"fix  wakanda forever trs   sri asih a the menu ya"
"498","Netral",0,"  ya sri asih  disiaan  film  bcu  gundala"
"499","Netral",0,"alana sri asih   da  "
"500","Netral",0,"  rencananya   jumat  sabtu  sri asih h ta  liat movie reviewer ngasih s "
